iter	RMSE
0	14.6359444
1	14.30539512
2	13.96404681
3	13.61769498
4	13.28172767
5	12.95425223
6	12.63790997
7	12.32946528
8	12.0242386
9	11.72522331
10	11.46943409
11	11.23654387
12	10.99813292
13	10.75896912
14	10.54150763
15	10.32303342
16	10.12037811
17	9.933889155
18	9.725612179
19	9.522487287
20	9.336908528
21	9.171380262
22	9.009694938
23	8.844500845
24	8.70291799
25	8.542989868
26	8.407638806
27	8.272839869
28	8.159669584
29	8.024946579
30	7.903377699
31	7.797841812
32	7.685798184
33	7.572003085
34	7.473443434
35	7.37919458
36	7.286516899
37	7.213029312
38	7.122129052
39	7.051914278
40	6.966336172
41	6.891801225
42	6.819969037
43	6.759093753
44	6.69767317
45	6.631312604
46	6.570450948
47	6.511329216
48	6.455391631
49	6.41015948
50	6.368861426
51	6.319800655
52	6.276072772
53	6.230820913
54	6.19112349
55	6.151607686
56	6.118053021
57	6.07837032
58	6.045459546
59	6.017659233
60	5.982783102
61	5.949450176
62	5.922677227
63	5.890354045
64	5.861775208
65	5.836407465
66	5.808086216
67	5.782465543
68	5.756271487
69	5.729272092
70	5.706305601
71	5.681382848
72	5.65255076
73	5.631341496
74	5.61283874
75	5.59435781
76	5.575863932
77	5.558015464
78	5.540679224
79	5.522633598
80	5.507096303
81	5.49390181
82	5.473943242
83	5.457944329
84	5.444691555
85	5.43120009
86	5.415644492
87	5.406909901
88	5.397139732
89	5.379817646
90	5.367275143
91	5.355698979
92	5.344496143
93	5.33257115
94	5.319349616
95	5.306691299
96	5.300309394
97	5.287810934
98	5.279638995
99	5.274070982
100	5.265785788
101	5.254175556
102	5.243261415
103	5.236507815
104	5.234895846
105	5.226654528
106	5.220138673
107	5.210602843
108	5.20509602
109	5.197277943
110	5.190448565
111	5.181780529
112	5.170149312
113	5.162594117
114	5.156301118
115	5.147683482
116	5.142346606
117	5.134397251
118	5.127972241
119	5.120297222
120	5.115217784
121	5.106104244
122	5.100674186
123	5.094202444
124	5.089045738
125	5.082392986
126	5.075217804
127	5.071906529
128	5.067659683
129	5.061934156
130	5.056106928
131	5.050884863
132	5.047158809
133	5.044179032
134	5.038845062
135	5.033855298
136	5.03095329
137	5.023845771
138	5.020631732
139	5.017519145
140	5.013678757
141	5.007105169
142	5.00435534
143	5.000702431
144	4.995515771
145	4.9907409
146	4.986016071
147	4.982497873
148	4.97590821
149	4.969098855
150	4.964950005
151	4.956890991
152	4.953514625
153	4.947236814
154	4.943619452
155	4.940262884
156	4.93749452
157	4.935144407
158	4.928456647
159	4.924315674
160	4.921296911
161	4.917496737
162	4.913269922
163	4.910635288
164	4.907633689
165	4.902544007
166	4.900329194
167	4.894096141
168	4.889519425
169	4.887712703
170	4.883844972
171	4.876976756
172	4.87452874
173	4.870524713
174	4.865615289
175	4.860158463
176	4.857162096
177	4.854304239
178	4.850101062
179	4.848038566
180	4.840845884
181	4.834794847
182	4.830190488
183	4.825360818
184	4.823104526
185	4.821493781
186	4.817383837
187	4.814115633
188	4.810732246
189	4.808506337
190	4.805809832
191	4.801090098
192	4.799502672
193	4.794434908
194	4.790266457
195	4.787128954
196	4.782449162
197	4.780101351
198	4.778255908
199	4.772882707
200	4.768225539
201	4.76467561
202	4.761339122
203	4.75727274
204	4.751626767
205	4.748031766
206	4.743316154
207	4.74018869
208	4.736342667
209	4.732678398
210	4.731232895
211	4.731045052
212	4.726102813
213	4.723669959
214	4.719823825
215	4.719203464
216	4.718400451
217	4.718236799
218	4.717334595
219	4.712799733
220	4.709644878
221	4.707527926
222	4.70341067
223	4.70239462
224	4.700055881
225	4.697802337
226	4.693311069
227	4.69094042
228	4.687472011
229	4.680873843
230	4.679246233
231	4.674481471
232	4.67286194
233	4.669468891
234	4.667760341
235	4.666766856
236	4.661765872
237	4.657115855
238	4.656777769
239	4.654479465
240	4.650720397
241	4.648564906
242	4.645651403
243	4.638072324
244	4.634325035
245	4.629034025
246	4.625541517
247	4.625218918
248	4.62248505
249	4.622398616
250	4.620982255
251	4.613751243
252	4.61118045
253	4.607045316
254	4.604915952
255	4.602568066
256	4.599842244
257	4.595738934
258	4.593249344
259	4.592389673
260	4.589927718
261	4.588945258
262	4.587344438
263	4.583274592
264	4.575918745
265	4.572817637
266	4.569162782
267	4.565054007
268	4.562796663
269	4.559900384
270	4.554976299
271	4.554062669
272	4.552480501
273	4.552166732
274	4.549562916
275	4.549258369
276	4.545001224
277	4.538125546
278	4.5340801
279	4.533798047
280	4.53091661
281	4.529803281
282	4.527589631
283	4.524505368
284	4.517562642
285	4.513050633
286	4.51268558
287	4.510940597
288	4.507937222
289	4.505594853
290	4.503030606
291	4.50131212
292	4.496895366
293	4.491694467
294	4.488123935
295	4.48544367
296	4.485214238
297	4.482392714
298	4.477270386
299	4.476933152
300	4.471207955
301	4.469787451
302	4.468720601
303	4.464714119
304	4.464395765
305	4.461230721
306	4.459811526
307	4.456765301
308	4.453275218
309	4.449517173
310	4.445105747
311	4.441991004
312	4.440635741
313	4.437778714
314	4.437582356
315	4.436585051
316	4.436527529
317	4.431382486
318	4.428608345
319	4.426249211
320	4.421596298
321	4.419604991
322	4.415636704
323	4.413725262
324	4.40978595
325	4.407423837
326	4.406254939
327	4.405366961
328	4.403262083
329	4.398615888
330	4.397973367
331	4.395703437
332	4.392406602
333	4.389074228
334	4.387334911
335	4.381008902
336	4.37764235
337	4.374700002
338	4.36936836
339	4.362509562
340	4.360447479
341	4.355685595
342	4.355044336
343	4.351778312
344	4.349860896
345	4.34903663
346	4.343920728
347	4.343002511
348	4.341117542
349	4.33906801
350	4.334851763
351	4.33055068
352	4.329048433
353	4.325161649
354	4.319288825
355	4.314812971
356	4.314637989
357	4.314469862
358	4.313884247
359	4.308556354
360	4.303896886
361	4.301554156
362	4.297977808
363	4.291759663
364	4.287237047
365	4.280608297
366	4.276822063
367	4.273930304
368	4.270306762
369	4.267191131
370	4.26592292
371	4.263184651
372	4.260831802
373	4.256843537
374	4.254559125
375	4.253295793
376	4.248855297
377	4.244054391
378	4.23930912
379	4.23820946
380	4.23537072
381	4.23394466
382	4.229759241
383	4.226826982
384	4.224930072
385	4.222078994
386	4.218435391
387	4.216558318
388	4.216407492
389	4.214611849
390	4.211590344
391	4.209252782
392	4.205575423
393	4.20275083
394	4.200007181
395	4.197380824
396	4.193579952
397	4.192658529
398	4.191033067
399	4.190862451
400	4.190008712
401	4.189863417
402	4.18889373
403	4.186476454
404	4.182692197
405	4.180041004
406	4.179888516
407	4.179750966
408	4.175387256
409	4.174964219
410	4.172852798
411	4.168186414
412	4.165722833
413	4.165597774
414	4.164353439
415	4.159909191
416	4.158379735
417	4.155924356
418	4.151341437
419	4.147278629
420	4.146690528
421	4.140666284
422	4.138551377
423	4.136508919
424	4.133822636
425	4.130918765
426	4.128447656
427	4.124110559
428	4.123979887
429	4.120479217
430	4.116749406
431	4.115085176
432	4.113704782
433	4.110911113
434	4.107491227
435	4.10603911
436	4.104400383
437	4.10321283
438	4.100706171
439	4.099574128
440	4.09944692
441	4.096403109
442	4.093439678
443	4.089623742
444	4.08681769
445	4.081666431
446	4.076706296
447	4.07434323
448	4.070146774
449	4.067627216
450	4.064889218
451	4.059671151
452	4.055437493
453	4.054730526
454	4.053647613
455	4.049960764
456	4.049845332
457	4.044955171
458	4.04193884
459	4.039472482
460	4.035262715
461	4.028710912
462	4.026028222
463	4.021064454
464	4.016912332
465	4.013928908
466	4.011323438
467	4.010460744
468	4.009251826
469	4.007008562
470	4.004678489
471	4.002886631
472	3.999863622
473	3.994637743
474	3.993471209
475	3.992364507
476	3.989953011
477	3.986167794
478	3.984313273
479	3.982934997
480	3.975349025
481	3.974402483
482	3.974303435
483	3.974175741
484	3.97182462
485	3.968327226
486	3.966127224
487	3.964847078
488	3.960314802
489	3.958448359
490	3.957222108
491	3.953415169
492	3.952124116
493	3.948216109
494	3.945644876
495	3.942726163
496	3.942627046
497	3.940123922
498	3.939959543
499	3.939504335
500	3.936660364
501	3.932029982
502	3.931930134
503	3.927849376
504	3.926744962
505	3.925250631
506	3.921336908
507	3.918389677
508	3.91374322
509	3.911068518
510	3.908699096
511	3.908270884
512	3.902853651
513	3.90224921
514	3.899953938
515	3.898873818
516	3.895052016
517	3.893943198
518	3.89002623
519	3.886333678
520	3.885112951
521	3.883319891
522	3.882927514
523	3.87942719
524	3.878448933
525	3.875127399
526	3.873089396
527	3.871973284
528	3.869012284
529	3.868239939
530	3.864830942
531	3.864209558
532	3.861433639
533	3.858239634
534	3.857110846
535	3.854963337
536	3.851315612
537	3.848621912
538	3.848048135
539	3.845806795
540	3.840003955
541	3.836297576
542	3.83109755
543	3.829111998
544	3.826197306
545	3.825916719
546	3.825516293
547	3.82192118
548	3.81900625
549	3.817523588
550	3.815055249
551	3.813017784
552	3.812460426
553	3.81021187
554	3.809292611
555	3.808743706
556	3.805497182
557	3.802966106
558	3.802506555
559	3.802403215
560	3.80167395
561	3.794962544
562	3.792791494
563	3.791036003
564	3.789013813
565	3.788527565
566	3.787776233
567	3.784988594
568	3.78137269
569	3.780328112
570	3.778275872
571	3.775642359
572	3.773513123
573	3.77173083
574	3.769751231
575	3.768848871
576	3.768464735
577	3.76714759
578	3.766714165
579	3.762040936
580	3.761525087
581	3.758452018
582	3.756947916
583	3.754490935
584	3.752679966
585	3.750091295
586	3.747465283
587	3.744881932
588	3.741271269
589	3.740282167
590	3.73643852
591	3.733530408
592	3.733013116
593	3.73088726
594	3.730011373
595	3.726290215
596	3.724403864
597	3.720967522
598	3.717160192
599	3.714195227
600	3.710613088
601	3.709258428
602	3.707460501
603	3.705236595
604	3.703025553
605	3.701403263
606	3.700508738
607	3.698754731
608	3.694761545
609	3.693853008
610	3.69136104
611	3.687942769
612	3.684229892
613	3.680786274
614	3.677895804
615	3.677163321
616	3.673763854
617	3.672097985
618	3.668466037
619	3.666091561
620	3.663813197
621	3.658770694
622	3.654950888
623	3.652054295
624	3.650208096
625	3.648770514
626	3.647171514
627	3.644812709
628	3.641313474
629	3.638623567
630	3.636391058
631	3.63604112
632	3.633244247
633	3.632166892
634	3.629561082
635	3.628743081
636	3.623894047
637	3.623093645
638	3.621426488
639	3.620998386
640	3.618969606
641	3.618095803
642	3.61739293
643	3.617173231
644	3.615830166
645	3.615121665
646	3.61502798
647	3.614949209
648	3.613863692
649	3.610509367
650	3.610247214
651	3.609881198
652	3.606912947
653	3.605352413
