iter	Passed	Remaining
0	133	133400
1	136	68160
2	139	46300
3	143	35767
4	159	31689
5	162	26954
6	166	23686
7	169	21028
8	172	19020
9	177	17540
10	180	16243
11	182	15032
12	185	14117
13	189	13340
14	192	12614
15	194	11946
16	196	11335
17	197	10793
18	199	10307
19	201	9858
20	202	9449
21	204	9069
22	205	8715
23	206	8391
24	207	8093
25	208	7812
26	209	7552
27	210	7310
28	211	7093
29	216	6994
30	217	6795
31	218	6603
32	219	6420
33	220	6253
34	221	6094
35	221	5936
36	222	5794
37	223	5659
38	224	5532
39	225	5414
40	226	5305
41	228	5200
42	228	5094
43	229	4994
44	230	4900
45	231	4810
46	232	4719
47	233	4635
48	234	4553
49	235	4475
50	236	4396
51	237	4322
52	238	4253
53	239	4192
54	240	4130
55	241	4067
56	242	4006
57	242	3946
58	243	3888
59	244	3831
60	245	3777
61	246	3725
62	246	3672
63	247	3623
64	248	3576
65	249	3531
66	250	3487
67	251	3450
68	252	3410
69	253	3371
70	254	3332
71	255	3293
72	256	3256
73	257	3220
74	258	3184
75	259	3151
76	259	3116
77	260	3083
78	261	3051
79	262	3020
80	263	2989
81	265	2967
82	266	2940
83	267	2914
84	268	2888
85	269	2865
86	270	2838
87	271	2812
88	272	2786
89	273	2761
90	274	2738
91	275	2714
92	275	2690
93	276	2668
94	278	2649
95	279	2628
96	280	2607
97	280	2586
98	281	2565
99	282	2544
100	283	2524
101	284	2504
102	285	2484
103	286	2464
104	286	2440
105	287	2422
106	288	2404
107	289	2387
108	290	2371
109	291	2356
110	292	2340
111	293	2326
112	294	2310
113	295	2293
114	296	2279
115	296	2262
116	297	2247
117	298	2233
118	299	2218
119	300	2202
120	301	2188
121	302	2173
122	303	2160
123	304	2151
124	305	2137
125	306	2125
126	307	2112
127	307	2098
128	308	2084
129	309	2071
130	310	2059
131	311	2046
132	312	2034
133	313	2023
134	313	2011
135	314	1999
136	315	1988
137	316	1978
138	318	1970
139	319	1960
140	319	1949
141	320	1938
142	321	1927
143	322	1917
144	323	1906
145	324	1896
146	325	1886
147	325	1876
148	326	1866
149	327	1856
150	328	1847
151	329	1839
152	330	1831
153	331	1822
154	332	1813
155	333	1805
156	334	1796
157	335	1788
158	336	1778
159	337	1770
160	338	1762
161	339	1753
162	339	1744
163	340	1736
164	341	1728
165	342	1720
166	343	1714
167	344	1707
168	345	1699
169	346	1692
170	347	1684
171	348	1676
172	349	1669
173	350	1661
174	350	1654
175	351	1647
176	352	1640
177	353	1633
178	354	1626
179	355	1620
180	356	1613
181	357	1607
182	358	1600
183	359	1593
184	360	1586
185	361	1579
186	361	1573
187	362	1566
188	363	1560
189	364	1553
190	365	1546
191	365	1540
192	366	1534
193	367	1528
194	369	1523
195	370	1517
196	371	1512
197	371	1506
198	372	1500
199	373	1494
200	374	1488
201	375	1482
202	376	1477
203	377	1471
204	377	1465
205	378	1460
206	379	1454
207	380	1448
208	381	1445
209	382	1440
210	383	1435
211	384	1428
212	385	1423
213	385	1417
214	386	1412
215	387	1407
216	388	1401
217	388	1395
218	389	1389
219	390	1385
220	391	1379
221	392	1374
222	393	1369
223	394	1365
224	400	1380
225	402	1380
226	404	1379
227	406	1376
228	408	1375
229	410	1373
230	411	1371
231	413	1368
232	414	1364
233	415	1360
234	416	1356
235	417	1351
236	418	1347
237	419	1343
238	420	1340
239	422	1337
240	423	1333
241	424	1329
242	425	1324
243	426	1320
244	426	1315
245	427	1311
246	428	1306
247	429	1302
248	430	1297
249	430	1292
250	431	1288
251	432	1284
252	433	1280
253	434	1276
254	435	1273
255	436	1269
256	437	1265
257	438	1261
258	439	1257
259	440	1253
260	441	1249
261	442	1245
262	442	1241
263	443	1237
264	444	1233
265	445	1229
266	446	1225
267	449	1226
268	450	1223
269	451	1219
270	452	1216
271	452	1212
272	453	1208
273	454	1204
274	455	1200
275	456	1196
276	457	1192
277	457	1189
278	458	1185
279	459	1181
280	460	1179
281	461	1175
282	462	1172
283	463	1169
284	464	1165
285	465	1161
286	466	1158
287	467	1154
288	467	1151
289	468	1147
290	469	1144
291	470	1140
292	471	1137
293	472	1134
294	473	1131
295	474	1128
296	475	1125
297	476	1121
298	476	1118
299	477	1114
300	478	1111
301	479	1108
302	480	1104
303	481	1101
304	482	1098
305	483	1095
306	483	1092
307	484	1089
308	485	1086
309	486	1083
310	488	1081
311	489	1078
312	489	1075
313	490	1072
314	491	1068
315	492	1065
316	493	1062
317	493	1059
318	494	1056
319	495	1052
320	496	1049
321	497	1046
322	498	1043
323	499	1041
324	500	1039
325	501	1036
326	502	1033
327	503	1030
328	504	1027
329	505	1025
330	505	1022
331	506	1019
332	507	1016
333	508	1013
334	509	1011
335	510	1008
336	510	1005
337	511	1002
338	513	1000
339	514	997
340	514	995
341	515	992
342	516	989
343	517	987
344	518	984
345	519	981
346	520	978
347	521	976
348	521	973
349	522	970
350	523	968
351	524	965
352	525	963
353	526	960
354	527	958
355	528	955
356	529	953
357	530	950
358	530	948
359	531	945
360	532	942
361	533	940
362	534	937
363	535	935
364	535	932
365	536	930
366	537	927
367	539	926
368	540	923
369	541	921
370	542	919
371	542	916
372	543	913
373	544	911
374	545	908
375	546	906
376	547	904
377	547	901
378	548	899
379	549	896
380	550	894
381	551	892
382	552	890
383	553	888
384	554	886
385	555	884
386	556	881
387	557	879
388	558	877
389	559	874
390	560	872
391	560	869
392	561	867
393	562	865
394	563	863
395	564	861
396	565	859
397	566	856
398	567	854
399	568	852
400	569	850
401	570	848
402	570	845
403	571	843
404	572	841
405	573	839
406	574	836
407	575	834
408	575	832
409	577	830
410	578	828
411	579	826
412	580	824
413	581	822
414	582	820
415	582	818
416	583	816
417	584	813
418	585	811
419	586	809
420	587	807
421	588	805
422	588	803
423	589	801
424	590	799
425	592	798
426	593	796
427	594	793
428	594	791
429	595	789
430	596	787
431	597	785
432	598	783
433	599	781
434	599	779
435	600	777
436	601	775
437	602	773
438	603	771
439	604	769
440	605	767
441	606	765
442	607	763
443	608	761
444	609	759
445	609	757
446	610	755
447	611	753
448	612	751
449	613	749
450	614	747
451	614	745
452	616	743
453	617	742
454	619	741
455	619	739
456	621	738
457	622	736
458	623	734
459	624	732
460	624	730
461	625	728
462	626	726
463	627	724
464	628	722
465	629	721
466	630	719
467	631	717
468	632	716
469	633	714
470	634	712
471	635	710
472	635	708
473	636	706
474	637	704
475	638	702
476	639	701
477	640	699
478	641	697
479	642	695
480	643	694
481	644	692
482	645	690
483	645	688
484	646	686
485	647	684
486	648	683
487	649	681
488	650	679
489	651	677
490	652	676
491	653	674
492	653	672
493	654	670
494	655	669
495	656	667
496	657	665
497	658	663
498	659	662
499	660	660
500	661	658
501	661	656
502	662	654
503	663	652
504	664	651
505	665	649
506	665	647
507	666	645
508	667	644
509	678	651
510	680	650
511	681	649
512	683	649
513	685	648
514	687	647
515	688	645
516	689	644
517	690	642
518	691	641
519	693	639
520	694	638
521	695	636
522	696	634
523	697	633
524	698	632
525	699	630
526	700	628
527	701	626
528	702	625
529	703	623
530	703	621
531	704	619
532	705	618
533	706	616
534	707	614
535	708	613
536	709	611
537	710	610
538	711	608
539	712	606
540	713	605
541	714	603
542	714	601
543	715	599
544	716	598
545	717	596
546	718	594
547	719	593
548	719	591
549	720	589
550	721	588
551	723	586
552	724	585
553	724	583
554	725	581
555	726	580
556	727	578
557	728	576
558	729	575
559	730	573
560	730	571
561	731	570
562	732	568
563	733	566
564	734	565
565	735	563
566	736	562
567	737	560
568	738	559
569	739	557
570	740	556
571	740	554
572	741	552
573	742	551
574	743	549
575	744	547
576	744	546
577	745	544
578	746	542
579	747	541
580	748	540
581	749	538
582	750	537
583	751	535
584	752	533
585	753	532
586	754	530
587	755	529
588	756	527
589	757	526
590	758	524
591	758	522
592	759	521
593	760	519
594	761	518
595	762	517
596	763	515
597	764	513
598	765	512
599	766	510
600	766	509
601	767	507
602	768	506
603	769	504
604	770	503
605	771	501
606	772	499
607	773	498
608	774	497
609	775	496
610	776	494
611	777	493
612	778	491
613	779	490
614	780	488
615	781	487
616	782	485
617	782	483
618	783	482
619	784	481
620	785	479
621	786	478
622	787	476
623	788	475
624	789	473
625	790	472
626	791	470
627	792	469
628	793	467
629	794	466
630	795	464
631	796	463
632	796	462
633	797	460
634	798	458
635	799	457
636	800	456
637	801	454
638	802	453
639	803	452
640	804	450
641	805	449
642	806	447
643	807	446
644	807	444
645	808	443
646	809	441
647	810	440
648	811	438
649	812	437
650	813	436
651	814	434
652	815	433
653	816	431
654	817	430
655	818	428
656	818	427
657	819	426
658	820	424
659	821	423
660	822	421
661	823	420
662	824	418
663	825	417
664	826	416
665	827	414
666	828	413
667	829	412
668	829	410
669	830	409
670	831	407
671	832	406
672	833	405
673	834	403
674	835	402
675	836	400
676	836	399
677	837	397
678	839	396
679	840	395
680	841	394
681	841	392
682	843	391
683	843	389
684	844	388
685	845	387
686	846	385
687	847	384
688	848	382
689	849	381
690	850	380
691	851	378
692	852	377
693	853	376
694	854	375
695	855	373
696	856	372
697	857	370
698	858	369
699	859	368
700	859	366
701	860	365
702	861	364
703	862	362
704	863	361
705	864	360
706	865	358
707	866	357
708	867	356
709	868	354
710	869	353
711	870	352
712	871	350
713	872	349
714	873	348
715	874	346
716	874	345
717	875	343
718	876	342
719	877	341
720	878	340
721	879	338
722	880	337
723	881	336
724	882	334
725	883	333
726	883	331
727	884	330
728	885	329
729	886	327
730	887	326
731	888	325
732	889	323
733	890	322
734	891	321
735	892	320
736	893	318
737	894	317
738	895	316
739	895	314
740	896	313
741	897	312
742	898	310
743	899	309
744	900	308
745	900	306
746	901	305
747	902	304
748	903	302
749	904	301
750	905	300
751	906	299
752	907	297
753	908	296
754	909	295
755	910	293
756	911	292
757	912	291
758	912	289
759	913	288
760	914	287
761	915	285
762	916	284
763	917	283
764	918	282
765	919	280
766	920	279
767	921	278
768	922	277
769	923	275
770	924	274
771	924	273
772	925	271
773	926	270
774	927	269
775	928	267
776	929	266
777	930	265
778	931	264
779	932	263
780	933	261
781	934	260
782	935	259
783	936	257
784	936	256
785	937	255
786	938	254
787	939	252
788	940	251
789	941	250
790	942	248
791	943	247
792	944	246
793	945	245
794	946	243
795	947	242
796	947	241
797	948	240
798	949	238
799	950	237
800	951	236
801	951	235
802	952	233
803	953	232
804	954	231
805	955	230
806	956	228
807	957	227
808	958	226
809	959	225
810	960	223
811	961	222
812	962	221
813	963	220
814	964	218
815	965	217
816	966	216
817	966	215
818	967	213
819	968	212
820	970	211
821	971	210
822	972	209
823	973	207
824	973	206
825	974	205
826	975	204
827	976	202
828	977	201
829	978	200
830	979	199
831	980	197
832	981	196
